,equity
2025-07-21,1551372.4181145495
2025-07-22,1544392.689125902
2025-07-23,1557568.7061729082
2025-07-24,1585143.1789359697
2025-07-25,1544784.2320518144
2025-07-28,1513954.6296540769
2025-07-29,1530015.8971406491
2025-07-30,1526408.0213647292
2025-07-31,1520467.9404015944
2025-08-01,1501761.3456445143
2025-08-04,1510785.5595274484
2025-08-05,1495642.7612486398
2025-08-06,1488455.1216055457
2025-08-07,1491820.1112295692
2025-08-08,1483372.161556977
2025-08-11,1497119.4619720161
2025-08-12,1495316.383053559
2025-08-13,1491297.15412325
2025-08-14,1489635.9139193925
2025-08-26,1472488.711557332
2025-08-28,1473548.2583102616
2025-08-29,1470464.9817904863
2025-09-01,1493304.8265475663
2025-09-02,1498709.4362887773
2025-09-03,1502728.4770907792
2025-09-04,1512800.1028842363
2025-09-05,1511091.2657870683
2025-09-08,1515240.6048068437
2025-09-25,1503099.8099402934
2025-09-26,1504501.4384803325
2025-09-29,1510724.692935899
2025-09-30,1506906.7079469615
2025-10-01,1503398.6516725475
2025-10-15,1510849.1807340097
2025-12-08,1486178.7526266454
2025-12-09,1486950.5980245946
2025-12-10,1485020.9906637548
2025-12-11,1486436.0385153173
2025-12-16,1483605.9550802587
2025-12-17,1483991.8716452
2025-12-18,1483220.0385153173
2026-01-08,1491452.9906637548
2026-01-09,1492224.836061704
2026-01-12,1492996.6691915868
2026-01-13,1491903.2409689305
2026-01-14,1492932.3599874852
2026-01-16,1496212.6691915868
2026-01-19,1491710.2765524266
2026-01-20,1484892.3599874852
2026-01-21,1484635.0740988133
2026-01-22,1484442.1096823094
2026-01-23,1480187.3470802587
2026-01-27,1480187.3470802587
2026-01-28,1480187.3470802587
2026-01-29,1480187.3470802587
2026-01-30,1480187.3470802587
2026-02-02,1480187.3470802587
2026-02-05,1480187.3470802587
2026-02-06,1480187.3470802587
2026-02-13,1480187.3470802587
2026-02-16,1480187.3470802587
2026-02-18,1479885.8610361912
2026-02-19,1478152.4689463475
2026-02-20,1481675.9689463475
2026-02-24,1483174.4689463475
2026-02-25,1480639.1649912694
2026-02-26,1480857.8610361912
2026-02-27,1477739.3610361912
2026-03-02,1474952.9689463475
2026-03-04,1473584.0669688084
2026-03-05,1477569.2630137303
2026-03-06,1482728.9689463475
2026-03-09,1474264.4689463475
2026-03-10,1491047.6649912694
2026-03-11,1496596.1649912694
2026-03-12,1495000.4689463475
2026-03-13,1484089.7630137303
2026-03-16,1487281.1649912694
2026-03-17,1488204.5669688084
2026-03-18,1490027.0669688084
2026-03-19,1484195.0669688084
2026-03-20,1486009.4689463475
2026-03-23,1480013.2779912692
2026-03-24,1480013.2779912692
2026-03-25,1480013.2779912692
2026-03-27,1480013.2779912692
2026-03-30,1480013.2779912692
2026-04-01,1480013.2779912692
2026-04-02,1480013.2779912692
2026-04-06,1480013.2779912692
2026-04-07,1480013.2779912692
2026-04-08,1480013.2779912692
2026-04-09,1480013.2779912692
2026-04-13,1480013.2779912692
2026-04-15,1477780.8750226414
2026-04-16,1485221.0477452977
2026-04-24,1519634.1856456883
2026-05-12,1507200.113296079
2026-05-13,1510566.5694728368
2026-05-15,1509184.6589604162
2026-05-18,1505396.4549198889
2026-05-19,1505777.7383061193
2026-05-29,1491718.4989872717
