TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Rank 45 > 40,LTGILTBEES,LTGILTBEES,2020-06-29,2020-09-07,21.77,21.9,7723.0096,983.99,BULL
BUY,NEW BUY (rank=11),JUNIORBEES,JUNIORBEES,2020-09-07,,281.93,,598.1898,,BULL
SELL,TSL 12.6% >= 5%,GOLDBETA,GOLDBETA,2020-06-08,2020-09-28,42.02,45.08,4060.273,12404.44,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,INFRABEES,INFRABEES,2020-08-31,2020-09-28,326.75,321.6,515.7779,-2676.26,PARTIAL
BUY,NEW BUY (rank=4),BSE500IETF,BSE500IETF,2020-10-05,,15.562,,10890.7769,,BULL
BUY,NEW BUY (rank=2),MID150BEES,MID150BEES,2020-10-05,,65.72,,2578.8538,,BULL
SELL,Regime slot reduction / sector cap / rank cut,BSE500IETF,BSE500IETF,2020-10-05,2021-02-01,15.562,19.286,10890.7769,40537.25,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2020-09-07,2021-02-01,281.93,341.85,598.1898,35823.53,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,NV20,NV20,2020-08-31,2021-02-01,5537.2,7081.2,30.436,46973.24,PARTIAL
BUY,NEW BUY (rank=1),NV20IETF,NV20IETF,2021-02-01,,7.38,,28073.3348,,PARTIAL
BUY,NEW BUY (rank=8),BSE500IETF,BSE500IETF,2021-02-08,,20.317,,10501.603,,BULL
BUY,NEW BUY (rank=7),SETFNIFBK,SETFNIFBK,2021-02-08,,358.21,,595.6312,,BULL
SELL,TSL 6.5% >= 5%,SETFNIFBK,SETFNIFBK,2021-02-08,2021-03-22,358.21,335.82,595.6312,-13356.18,BULL
BUY,NEW BUY (rank=6),HDFCNIFBAN,HDFCNIFBAN,2021-03-22,,33.58,,6316.5082,,BULL
SELL,Regime slot reduction / sector cap / rank cut,BSE500IETF,BSE500IETF,2021-02-08,2021-03-29,20.317,20.005,10501.603,-3296.5,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2020-08-24,2021-03-29,9.62,11.64,17688.8147,35711.41,PARTIAL
BUY,NEW BUY (rank=9),JUNIORBEES,JUNIORBEES,2021-04-05,,359.95,,586.616,,BULL
BUY,NEW BUY (rank=4),ICICIB22,ICICIB22,2021-04-05,,35.72,,5911.322,,BULL
SELL,TSL 8.1% >= 5%,HDFCNIFBAN,HDFCNIFBAN,2021-03-22,2021-04-19,33.58,31.06,6316.5082,-15937.6,BULL
BUY,NEW BUY (rank=13),LOWVOLIETF,LOWVOLIETF,2021-04-19,,11.8,,17358.3196,,BULL
SELL,TSL 5.6% >= 5%,NV20IETF,NV20IETF,2021-02-01,2021-04-26,7.38,7.69,28073.3348,8682.73,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2021-04-19,2021-04-26,11.8,11.76,17358.3196,-714.33,PARTIAL
BUY,NEW BUY (rank=11),CPSEETF,CPSEETF,2021-05-03,,23.13,,9024.0243,,BULL
BUY,NEW BUY (rank=1),HDFCNIFTY,HDFCNIFTY,2021-05-03,,162.83,,1281.8626,,BULL
SELL,Rank 71 > 40,HDFCNIFTY,HDFCNIFTY,2021-05-03,2021-05-17,162.83,162.83,1281.8626,-20.0,BULL
BUY,NEW BUY (rank=2),NV20IETF,NV20IETF,2021-05-17,,7.97,,27261.927,,BULL
SELL,Rank 46 > 40 | TSL 7.4% >= 5%,CPSEETF,CPSEETF,2021-05-03,2021-08-23,23.13,24.82,9024.0243,15230.6,BULL
SELL,Rank 47 > 40 | TSL 5.1% >= 5%,ICICIB22,ICICIB22,2021-04-05,2021-08-23,35.72,39.09,5911.322,19901.16,BULL
BUY,NEW BUY (rank=1),SBIETFIT,SBIETFIT,2021-08-23,,345.79,,673.9223,,BULL
BUY,NEW BUY (rank=3),SHARIABEES,SHARIABEES,2021-08-23,,439.53,,530.1927,,BULL
SELL,TSL 5.5% >= 5%,SBIETFIT,SBIETFIT,2021-08-23,2021-10-04,345.79,357.77,673.9223,8053.59,BULL
BUY,NEW BUY (rank=1),LOWVOLIETF,LOWVOLIETF,2021-10-04,,14.5,,17271.7587,,BULL
SELL,TSL 5.7% >= 5%,SHARIABEES,SHARIABEES,2021-08-23,2021-10-25,439.53,436.28,530.1927,-1743.13,BULL
BUY,NEW BUY (rank=2),BSE500IETF,BSE500IETF,2021-10-25,,25.251,,9696.8268,,BULL
SELL,Regime slot reduction / sector cap / rank cut,NV20IETF,NV20IETF,2021-05-17,2021-11-01,7.97,9.5,27261.927,41690.75,BULL
SELL,Regime slot reduction / sector cap / rank cut,MID150BEES,MID150BEES,2020-10-05,2021-11-01,65.72,116.8,2578.8538,131707.85,BULL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2021-04-05,2021-11-01,359.95,445.76,586.616,50317.52,BULL
BUY,NEW BUY (rank=8),SBIETFQLTY,SBIETFQLTY,2021-11-01,,154.49,,1592.2534,,BULL
BUY,NEW BUY (rank=10),SBIETFIT,SBIETFIT,2021-11-01,,359.7,,683.8677,,BULL
BUY,NEW BUY (rank=2),NIFTYBEES,NIFTYBEES,2021-11-01,,193.84,,1269.022,,BULL
SELL,Regime slot reduction / sector cap / rank cut,SBIETFQLTY,SBIETFQLTY,2021-11-01,2021-11-29,154.49,150.75,1592.2534,-5975.03,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SBIETFIT,SBIETFIT,2021-11-01,2021-11-29,359.7,356.28,683.8677,-2358.83,BEAR
SELL,TSL 5.3% >= 5%,BSE500IETF,BSE500IETF,2021-10-25,2021-11-29,25.251,24.25,9696.8268,-9726.52,BEAR
SELL,TSL 6.2% >= 5%,LOWVOLIETF,LOWVOLIETF,2021-10-04,2021-11-29,14.5,13.73,17271.7587,-13319.25,BEAR
